name,age,street,city,state,zip,dollar,pick,date
Kate Simmons,26,Fote Parkway,Reibazig,RI,14772,$2444.16,GREEN,09/30/2021
Lola Douglas,50,Bika Way,Tuamhed,ID,92715,$1725.58,RED,01/21/2022
Cornelia Howell,49,Filki Pike,Jonucum,VT,09542,$9734.66,YELLOW,01/11/1997
Corey Morton,21,Vefed Road,Anijutnij,VA,69887,$180.47,BLUE,06/12/2052
Daisy Wong,46,Vorupi Parkway,Jurozjo,NE,32596,$496.55,GREEN,01/27/2023
Jane Hogan,33,Rucok Point,Ripvacuw,OR,32461,$1694.12,BLUE,06/19/2026
Dean Christensen,23,Wedtet Lane,Lahsile,OR,50187,$8455.19,GREEN,04/12/1965
Eliza Stevenson,19,Tejdok Point,Pelnoni,FL,23172,$5859.70,RED,11/06/2025
Cynthia Fernandez,34,Ofidel Trail,Ratlaane,PA,24786,$6006.97,GREEN,05/03/1952
Billy Simmons,57,Hefot Drive,Civwukko,FL,69114,$2108.69,BLUE,01/12/1900
Alan Boyd,39,Fugam Way,Zagronle,WY,04608,$2626.73,YELLOW,07/03/1979
Ian Reese,24,Joma Terrace,Tumvobuz,AK,61088,$7831.84,RED,09/22/1959
